from,to,relation
lu,bg,1
bg,sk,2
sk,bgs,1
bgs,bek,2
bek,sbm,1
ejdl,ch,1
ch,ej,2
ch,cl,2
ej,rm,1
ej,sf,1
ej,wts,1
cl,hni,1
dja,mc,1
alb,mac,1
dja,mac,5
