from,to,relation
lu,bg,1
bg,sk,2
sk,bgs,1
bgs,bek,2
ejdl,ch,1
ch,ej,2
ch,cl,2
dja,mc,1
mc,alb,2
ibs,pr,1
pr,mg,2
or,gy,1
gy,pa,2
ac,di,1
di,cs,2
